High School	 StreetAddress	 City	 State	 Zip		
Upper Kennebec Valley Jr-sr Hs School	110 Meadow St	Po Box 669				
Upper Kennebec Valley Jr-sr Hs School	110 Meadow St	Po Box 669				
Washburn District High School	1359 Main Street	Washburn	 ME 04786			
Washburn District High School	1359 Main Street	Washburn	 ME 04786			
Washington Academy	P.O. Box 190	East Machias	 ME 04630			
Washington Academy	P.O. Box 190	East Machias	 ME 04630			
Waterville High School	1 Brooklyn Avenue	Waterville	 ME 04901			
Waterville High School	1 Brooklyn Avenue	Waterville	 ME 04901			
Wells High School	P.O. Box 579	200 Sanford Road				
Wells High School	P.O. Box 579	200 Sanford Road				
Westbrook High School	125 Stroudwater Street	Westbrook	 ME 04092			
Westbrook High School	125 Stroudwater Street	Westbrook	 ME 04092			
Western Maine Christian Academy	Po Box 951	Wilton	 ME 04294			
Western Maine Christian Academy	Po Box 951	Wilton	 ME 04294			
Windham Christian Academy	1051 Roosevelt Trail	Windham	 ME 04062			
Windham Christian Academy	1051 Roosevelt Trail	Windham	 ME 04062			
Windham High School	406 Gray Road	Windham	 ME 04062			
Windham High School	406 Gray Road	Windham	 ME 04062			
Winslow High School	20 Danielson Street	Winslow	 Maine 04901			
Winslow High School	20 Danielson Street	Winslow	 Maine 04901			
Winthrop High School	211 Rambler Road	Winthrop	 ME 04364			
Winthrop High School	211 Rambler Road	Winthrop	 ME 04364			
Wiscasset High School	272 Gardiner Road	Wiscasset	 ME 04578			
Wiscasset High School	272 Gardiner Road	Wiscasset	 ME 04578			
Wisdom High School	368 Main St P.O. Box 69	St. Agatha	 ME 04772			
Wisdom High School	368 Main St P.O. Box 69	St. Agatha	 ME 04772			
Woodland Jr-Sr High School	14 First Avenue	Baileyville	 ME 4694			
Woodland Jr-Sr High School	14 First Avenue	Baileyville	 ME 4694			
Yarmouth High School	286 West Elm Street	Yarmouth	 ME 04096			
Yarmouth High School	286 West Elm Street	Yarmouth	 ME 04096			
York High School	1 Robert Stevens Drive	York	 ME 03909			
Damascus High School	25921 Ridge Rd	Damascus	 MD 20872			
Dematha Catholic High School	4313 Madison Street	Hyattsville	 MD 20781			
Digital Harbor High School	1100 Covington St	Baltimore	 MD 21230			
Dr. Samuel L. Banks High School	2500 E Northern Pkwy	Baltimore	 MD 21214			
Dulaney High School	255 Padonia Road	Timonium	 MD 21093			
Dundalk High School	1901 Delvale Avenue	Baltimore	 MD 21222			
Duval High School	9880 Good Luck Rd	Lanham	 MD 20706			
Eastern Shore Junior Academy	407 Dudley Corners Road	Sudlersville	 MD 21668			
Eastern Technical High School	1100 MacE Ave	Baltimore	 MD 21221			
Easton Area High School	2601 William Penn Highway	Easton	 PA 18045			
Edgewood High School	2415 Willoughby Beach Rd	Edgewood	 MD 21040			
Edmondson-westside High School	501 N Athol Ave	Baltimore	 MD 21229			
Eleanor Roosevelt High School	7601 Hanover Pky	Greenbelt	 MD 20770			
Elizabeth Seton High School	5715 Emerson Street	Bladensburg	 MD 20710			
Elkton Christian Academy	144 Appleton Road	Elkton	 MD 21921			
Elkton High School	110 James Street	Elkton	 MD 21921			
Evening High School	9610 Pulaski Park Dr Suite 21	Middle River	 MD 21220			
Fairhaven School	17900 Queen Anne Road	0	Upper Marlboro	 MD 20774		
Fairmont Heights High School	1401 Nye St.	Capitol Heights	 MD 20743			
Fallston High School	2301 Carrs Mill Rd	Fallston	 MD 21047			
Flexible Evening High School	44 West Frederick Street	Walkersville	 MD 21793			
Forest Park High School	3701 Eldorado Ave	Baltimore	 MD 21207			
Forestville High School	7001 Beltz Drive	Forestville	 MD 20747			
Fort Hill High School	500 Greenway Ave	Cumberland	 MD 21502			
Francis M Wood Alternative High School	100 N Calhoun St	Baltimore	 MD 21223			
Francis Scott Key High School	3825 Bark Hill Rd	Union Bridge	 MD 21791			
Franklin High School	12000 Reisterstown Road	Reisterstown	 MD 21136			
Frederick County Evening High School	44 West Frederick St.	Walkersville	 Md 21793			
Frederick Douglass High School	2301 Gwynns Falls Pky	Baltimore	 MD 21217			
Frederick High School	8000 Croom Road	Upper Marlboro	 MD 20772			
Friendly High School	10000 Allentown Rd	Fort Washington	 MD 20744			
Gaithersburg High School	314 S Frederick Ave	Gaithersburg	 MD 20877			
Garrison Forest School	300 Garrison Forest Road	Owings Mills	 MD 21117			
George W. F. Mcmechen High School	4411 Garrison Blvd	Baltimore	 MD 21215			
Glen Burnie High School	7550 Balto-Annapolis Blvd SE	Glen Burnie	 MD 21060			
Glenelg High School	14025 Burnt Woods Rd	Glenelg	 MD 21737			
God's Church International High School	4650 Suitland Rd	Suitland	 MD 20746			
Governor Thomas Johnson High School	1501 N. Market St.	Frederick	 MD 21701			
Grace Academy	13321 Cearfoss Pike	Hagerstown MD	 21740 1614			
Grace Brethren Christian School	6501 Surratts Road	Clinton	 MD 20735			
Great Mills High School	21130 Great Mills Rd		Great Mills	 MD 20634		
Greater Grace Christian Academy	6077 Moravia Park Drive	Baltimore	 MD 21206			
Gwynn Park High School	13800 Brandywine Rd	Brandywine	 MD 20613			
Hammond High School	8800 Guilford Rd	Columbia	 MD 21046			
Hancock High School	289 W Main St	Hancock	 MD 21750			
Hannah More School	12039 Reisterstown Rd	Reisterstown	 MD 21136			
Harbor City High School	1001 W. Saratoga Street	Baltimore	 MD 21223			
Harford Technical High School	200 Thomas Run Rd	Bel Air	 MD 21015			
Havre De Grace Sr High School	700 Congress Ave	Havre De Grace	 MD 21078			
Henry E. Kenwood High School	501 Stemmers Run Rd	Baltimore	 MD 21221			
Inverness Center	8200 Old Philadelphia Rd	Baltimore	 MD 21237			
Israel Henry Beren High School	400 Mt Wilson Lane	Baltimore	 MD 21208			
James Hubert Blake High School	300 Norwood Rd	Silver Spring	 MD 20905			
James M. Bennett High School	300 E College Avenue	Salisbury	 MD 21804			
John F. Kennedy High School	1901 Randolph Rd	Silver Spring	 MD 20902			
Joppatowne High School	555 Joppa Farm Rd	Joppa	 MD 21085			
Kennedy Krieger High School Ca	3825 Greenspring Avenue	Baltimore	 MD 21211			
Kent County High School	25301 Lambs Meadow Rd	Worton	 MD 21678			
Kent Island High School	900 Love Point Rd	Stevensville	 MD 21666			
Kings Landing Academy	300 Calverton School Road	Huntingtown	 MD 20639			
La Plata High School	6035 Radio Station Road	La Plata	 Maryland 20646			
Lackey High School	3000 Chicamuxen Rd	Indian Head	 MD 20640			
Landon School	6101 Wilson Lane	Bethesda	 MD 20817			
Lansdowne High School	3800 Hollins Ferry Rd	Baltimore	 MD 21227			
Largo High School	505 Largo Rd	Upper Marlboro	 MD 20774			
Laurel High School	8000 Cherry Ln	Laurel	 MD 20707			
Leonardtown High School	23995 Point Lookout Road		Leonardtown	 MD 20650		
Liberty High School	5855 Bartholow Rd.	Eldersburg	 MD 21784			
Lighthouse Christian Academy	7 Pleasantview Church Rd	Port Deposit	 MD 21904			
Linganore High School	12013 Old Annapolis Rd	Frederick	 MD 21701			
Loch Raven High School	1212 Cowpens Ave	Baltimore	 MD 21286			
Long Reach High School	6101 Old Dobbin Ln	Columbia	 MD 21045			
Mardela High School	24940 Delmar Rd	Mardela Springs	 MD 21837			
Maryland School for the Deaf	101 Clarke Place	P.O. Box 250				
Maurice J. McDonough High School	7165 Marshall Corner Rd	Pomfret	 MD 20675			
Meade Senior High School	1100 Clark Road	Ft. Meade	 MD 20755			
Mercy High School	1300 E. Northern Parkway	Baltimore	 Maryland 21239			
Mergenthaler Vocational Technical High School	3500 Hillen Rd	Baltimore	 MD 21218			
Middletown High School	200 High St	Middletown	 MD 21769			
Milford Mill Academy	3800 Washington Ave	Baltimore	 MD 21244			
Montgomery Blair High School	51 University Blvd E	Silver Spring	 MD 20901			
Mount De Sales High School	700 Academy Road	Catonsville	 MD 21228			
Mount Hebron High School	9440 Rt 99	Ellicott City	 MD 21042			
Mount Saint Joseph High School	4403 Frederick Avenue	Baltimore	 MD 21229			
Muslim Community School	7917 Montrose Rd	Potomac	 MD 20854			
Natick High School	15 West Street	Natick	 MA 01760			
National Christian Academy	6700 Bock Road	Fort	 Washington MD20744			
New Hope Academy	7009 Varnum Street	Landover Hills	 MD 20784			
New Town High School	4931 New Town Blvd	Owings Mills	 MD 21117			
North Caroline High School	10990 River Rd	Ridgely	 MD 21660			
North Carroll High School	1400 Panther Drive	Hampstead	 MD 21074			
North County High School	10 East 1st Avenue		Glen Burnie	 MD 21061		
North Dorchester High School	5875 Cloverdale Rd	Hurlock	 MD 21643			
North East High School	300 Irishtown Rd	North East	 MD 21901			
North Hagerstown High School	1200 Pennsylvania Ave	Hagerstown	 MD 21742			
North Harford High School	211 Pylesville Rd	Pylesville	 MD 21132			
Northeast High School	1121 Duvall Hwy	Pasadena	 MD 21122			
Northern Garrett High School	86 Pride Pkwy	Accident	 MD 21520			
Northern High School	2950 Chaneyville Rd	Owings	 MD 20736			
Northwest High School	13501 Richter Farm Rd	Germantown	 MD 20874			
Oakland Mills High School	9410 Kilimanjaro Rd	Columbia	 MD 21045			
Odenton Christian School	8410 Piney Orchard Pkwy	Odenton	 MD 21113			
Old Mill High School	600 Patriot Ln	Millersville	 MD 21108			
Open Bible Christian Academy	13 Open Bible Way	Kingsville	 MD 21087			
Our Lady of Good Counsel High School	17301 Old Vic Blvd	Olney	 Md. 20832			
Our Lady Of The Rosary High School	420 S Chester St	Baltimore	 MD 21231			
Overlea High School	5401 Kenwood Ave	Baltimore	 MD 21206			
Owings Mills High School	124 S Tollgate Rd	Owings Mills	 MD 21117			
Oxon Hill High School	6701 Leyte Dr	Oxon Hill	 MD 20745			
Paint Branch High School	14121 Old Columbia Pike	Burtonsville	 MD 20866			
Parkdale High School	6001 Good Luck Rd	Riverdale	 MD 20737			
Parkside High School	1015 Beaglin Park Dr	Salisbury	 MD 21804			
Parkville High School	2600 Putty Hill Ave	Baltimore	 MD 21234			
Patapsco High School	8100 Wise Ave	Baltimore	 MD 21222			
Patterson High School	100 Kane St	Baltimore	 MD 21224			
Patuxent High School	12485 Rousby Hall Rd	Lusby	 MD 20657			
Paul Laurence Dunbar High School	1400 Orleans St	Baltimore	 MD 21231			
Perry Hall High School	4601 Ebenezer Rd	Baltimore	 MD 21236			
Perryville High School	1696 Perryville Rd	Perryville	 MD 21903			
Pikesville High School	7621 Labyrinth Rd	Baltimore	 MD 21208			
Poolesville High School	17501 Willard Rd	Poolesville	 MD 20837			
Potomac High School	5211 Boydell Ave	Oxon Hill	 MD 20745			
Progressive Christian Academy	5408 Brinkley Road	Camp Springs	 MD 20748			
Queen Anne School	14111 Oak Grove Road	Upper Marlboro	 MD 20774			
Queen Anne's County High School	125 Ruthsburg Road	Centreville	 Maryland 21617			
Quince Orchard High School	15800 Quince Orchard Rd	Gaithersburg	 MD 20878			
Randallstown High School	4000 Offutt Road	Randallstown	 MD 21133			
Redeemer Classical Christian School	6415 Mount Vista Road	Kingsville	 MD 21087			
Reginald F. Lewis High School	6401 Pioneer Dr	Baltimore	 MD 21214			
Reservoir High School	11550 Scaggsville Rd	Fulton	 MD 20759			
Richard Montgomery High School	250 Richard Montgomery Dr	Rockville	 MD 20852			
Rising Sun High School	100 Tiger Dr	North East	 MD 21901			
River Hill High School	12101 Route 108	Clarksville	 MD 21029			
Riverdale Baptist School	1133 Largo Rd	Upper Marlboro	 MD 20774			
Rockville High School	2100 Baltmore Road	Rockville	 MD 20851			
Salisbury Christian School	807 Parker Road	Salisbury	 MD 21804			
Salisbury High School	6279 Hobbs Road	Salisbury	 MD 21802			
Seneca Valley High School	19401 Crystal Rock Drive	Germantown	 MD 20874			
Severna Park Sr High School	60 Robinson Rd	Severna Park	 MD 21146			
Shalheves High School	5800 Park Heights Ave	Baltimore	 MD 21215			
Sherwood High School	300 Olney-Sandy Spring Rd.	Sandy Spring	 MD 20860			
Smithsburg High School	66 North Main Street	Smithsburg	 MD 21783			
Snow Hill High School	305 SouthChurch Street	Snow Hill	 MD 21863			
South Carroll High School	1300 W. Old Liberty Road	Sykesville	 MD 21784			
South Hagerstown High School	1101 South Potomac Street	Hagerstown	 Maryland 21740			
South River Evening High School	201 Central Ave. E	Edgewater	 MD 21037-2802			
Southern Garrett High School	345 Oakland Drive		Oakland	 MD 21550		
Southern Md Christian Academy	9805 Faith Baptist Church Rd	White Plains	 MD 20695			
Southern Senior High School	4400 Solomons Island Road	Harwood	 MD 20776			
Southwestern High School	200 Font Hill Ave	Baltimore	 MD 21223			
Tall Oaks Vocational	2112 Church Rd	Bowie	 MD 20721			
The Barrie School	13500 Layhill Road	Silver Spring	 MD 20906			
The Catholic High School	2800 Edison Highway	Baltimore	 MD 21213			
The Heights School	10400 Seven Locks Rd.	Potomac	 MD 20854			
The Newport School	12101 Tech Road	Silver Spring	 MD 20904			
The Pathways School Northwood	1200 University Blvd	 West	Silver Spring	 MD 20902		
The Seton Keough High School	1201 S Caton Avenue	Baltimore	 MD 21227			
Thomas Edison High School of Technology	12501 Dalewood Dr	Silver Spring	 MD 20906			
Thomas S. Wootton High School	2100 Wootton Pkwy	Rockville	 MD 20850			
Thomas Stone High School	3785 Leonardtown Road		Waldorf	 MD 20601		
Thurgood Marshall High School	5000 Truesdale Rd	Baltimore	 MD 21206			
Towson Catholic High School	114 Ware Ave.	Towson	 MD 21204			
Towson High School	69 Cedar Ave	Towson	 MD 21286			
Tuscarora High School	5312 Ballenger Creek Pk	Frederick	 MD 20703			
Urbana High School	3471 Campus Dr	Ijamsville	 MD 21754			
Walkersville High School	81 Frederick Street	Walkersville	 MD 21793			
Walt Whitman High School	7100 Whittier Blvd	Bethesda	 MD 20817			
Walter Johnson High School	6400 Rock Spring Dr	Bethesda	 MD 20814			
Washington Christian Academy	16227 Batchellors Forest Road	Olney	 MD 20832			
Washington County Evening High school	1151 South Potomac Street	Hagerstown	 Maryland 21740			
Washington County Technical High School	50 W Oak Ridge Dr	Hagerstown	 MD 21740			
Washington High School	10902 Old Princess Anne Rd	Princess Anne	 MD 21853			
Washington Waldorf School	4800 Sangamore Rd	Bethesda	 MD 20816			
Watkins Mill High School	10301 Apple Ridge Rd	Gaithersburg	 MD 20879			
WEB Dubois Senior High School	2201 Pinewood Ave	Baltimore	 MD 21214			
Wesleyan Christian School	P.O. Box 118	401 Aldersgate Drive				
West Nottingham Academy	1079 Firetower Road	Colora	 MD 21917			
Western High School	4600 Falls Road	Baltimore	 MD 21209			
Westlake High School	3300 Middletown Rd	Waldorf	 MD 20603			
Westmar High School	16915 Lower George's Creek Rd	Lonaconing	 MD 21539			
Westminster Senior High School	1225 Washington Rd.	Westminster	 MD 21157			
Wheaton High School	12601 Dalewood Dr	Silver Spring	 MD 20906			
Wicomico High School	201 Long Avenue	Salisbury	 MD 21801			
Wilde Lake High School	5460 Trumpeter Rd	Columbia	 MD 21044			
Williamsport High School	5 S Clifton Dr	Williamsport	 MD 21795			
Winston Churchill High School	11300 Gainsborough Rd	Potomac	 MD 20854			
Winters Mill High School	560 Gorsuch Road	Westminster	 Maryland 21157			
Woodlawn High Center	1801 Woodlawn Dr	Baltimore	 MD 21207			
Worcester Career & Technology Center	6268 Worcester Hwy	Newark	 MD 21841			
Yeshivat Rambam Academy	6300 Park Heights Avenue	Baltimore	 Maryland 21215			
Cambridge Rindge and Latin High School	459 Broadway	Cambridge	 MA 02138			
Canton High School	900 Washington Street	Canton	 MA 02021			
Cape Cod Academy	50 Osterville-W. Barnstable Rd	Osterville	 MA 02655			
Cape Cod Region Vocational Tech High School	351 Pleasant Lake Ave	Harwich	 MA 02645			
Cardinal Spellman High School	738 Court Street	Brockton	 MA 02302-2898			
Carter High School	396 Northampton Street	Boston	 MA 02118			
Carver High School	60 South Meadow Rd	Carver	 MA 02330			
Cathedral High School	74 Union Park Street	Boston	 MA 02118			
Central Catholic High School	300 Hampshire St.	Lawrence	 MA 01841			
Charles H. McCann Technical School	70 Hodges Cross Road	North Adams	 MA 01247			
Charlestown High School	240 Medford Street	Charlestown	 MA 02129			
Chatham High School	425 Crowell Road	Chatham	 MA 02633			
Chelmsford High School	200 Richardson Rd	North Chelmsford	 MA 01863			
